subscriber_key_json, destination_record_associations_json
"{""id"":""94554091-a0b4-4a9d-9f35-6403f2d67764"",""type"":""BillingAccount""}","[{""destRecId"":""2b2b3e06-1d6b-4b20-afee-571488552577"",""contactId"":""d96cc27a-e78b-4f27-bb5e-af561c907978"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""ddc0cad7-8e0c-4e23-a552-f7993234f5b6"",""contactId"":""d96cc27a-e78b-4f27-bb5e-af561c907978"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""7b2105ce-f59a-4e0f-9e7b-24f4e8351c9a"",""type"":""BillingAccount""}","[{""destRecId"":""84aadd24-0a59-4235-9edf-00495a5aa007"",""contactId"":""1ae94b96-0d7b-40f5-a632-aabfc42225aa"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""fe9d38e0-6309-4508-85dd-ba3d525e6e1e"",""contactId"":""1ae94b96-0d7b-40f5-a632-aabfc42225aa"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""3e6c6671-3b2c-4375-8cd7-f8ed9e8129a6"",""type"":""Customer""}","[{""destRecId"":""b9923f51-e136-432b-9cf0-a621c80b2761"",""contactId"":""2e72e5d1-b3bc-404c-a4e5-51c135b4557f"",""scope"":{""mode"":""INCLUDE"",""categories"":[""COLLECTIONS_MANAGER""]},""disabled"":false},{""destRecId"":""b9923f51-e136-432b-9cf0-a621c80b2761"",""contactId"":""2e72e5d1-b3bc-404c-a4e5-51c135b4557f"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""50787113-957a-45ec-a506-8f4d4eb6d32c"",""contactId"":""2e72e5d1-b3bc-404c-a4e5-51c135b4557f"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""b9923f51-e136-432b-9cf0-a621c80b2761"",""contactId"":""2e72e5d1-b3bc-404c-a4e5-51c135b4557f"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""50787113-957a-45ec-a506-8f4d4eb6d32c"",""contactId"":""2e72e5d1-b3bc-404c-a4e5-51c135b4557f"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""35df6b05-a593-4784-9c49-c3a9d2414dd7"",""type"":""BillingAccount""}","[{""destRecId"":""2bf397e1-5217-4345-96dc-99e090d202ea"",""contactId"":""d267c15e-241b-4336-9fff-4ca87ba89c87"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""db1c227a-627d-4c2a-a2b8-e19c4ca45053"",""contactId"":""d267c15e-241b-4336-9fff-4ca87ba89c87"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""c6cc8e86-61ee-4c74-a427-cb5243d5528b"",""type"":""Customer""}","[{""destRecId"":""ed7a45f1-efed-4ddb-ac69-5ce277de90ae"",""contactId"":""a013cc93-244c-4494-a5b7-2183cdf0406e"",""scope"":{""mode"":""INCLUDE"",""categories"":[""COLLECTIONS_MANAGER""]},""disabled"":false},{""destRecId"":""ed7a45f1-efed-4ddb-ac69-5ce277de90ae"",""contactId"":""a013cc93-244c-4494-a5b7-2183cdf0406e"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""86ffb385-8aab-48a0-b2b1-5d7c90bc8cd7"",""contactId"":""a013cc93-244c-4494-a5b7-2183cdf0406e"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""ed7a45f1-efed-4ddb-ac69-5ce277de90ae"",""contactId"":""a013cc93-244c-4494-a5b7-2183cdf0406e"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""86ffb385-8aab-48a0-b2b1-5d7c90bc8cd7"",""contactId"":""a013cc93-244c-4494-a5b7-2183cdf0406e"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""09eaf5d8-f02a-423a-9a93-d2fc0bd1b92f"",""type"":""BillingAccount""}","[{""destRecId"":""af65adc9-0bdd-47d5-803c-13ff4661f81f"",""contactId"":""c1611520-7fbf-4d4a-a8ef-3fd463282d96"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""41b0c1ea-3215-4622-8c94-43879869c714"",""contactId"":""c1611520-7fbf-4d4a-a8ef-3fd463282d96"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""f1508501-6eda-4e96-bdb6-a24674905381"",""type"":""BillingAccount""}","[{""destRecId"":""a638f48d-de34-4ba6-814f-f3219e134739"",""contactId"":""0406f5c5-e573-4d6b-b667-ed35338d3c7c"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""943613d5-3bc1-43d6-9b46-2234a474a49b"",""contactId"":""0406f5c5-e573-4d6b-b667-ed35338d3c7c"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""0187787b-ffa5-48b2-949b-a374badc0483"",""type"":""Customer""}","[{""destRecId"":""6216c686-bcbf-4fb7-86d3-a54e47fc5253"",""contactId"":""7853d6b2-93da-496d-8327-6581b1dc5ffc"",""scope"":{""mode"":""INCLUDE"",""categories"":[""COLLECTIONS_MANAGER""]},""disabled"":false},{""destRecId"":""6216c686-bcbf-4fb7-86d3-a54e47fc5253"",""contactId"":""7853d6b2-93da-496d-8327-6581b1dc5ffc"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""f66f9496-48d9-4774-853f-b6793616f065"",""contactId"":""7853d6b2-93da-496d-8327-6581b1dc5ffc"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""6216c686-bcbf-4fb7-86d3-a54e47fc5253"",""contactId"":""7853d6b2-93da-496d-8327-6581b1dc5ffc"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""f66f9496-48d9-4774-853f-b6793616f065"",""contactId"":""7853d6b2-93da-496d-8327-6581b1dc5ffc"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""f66f9496-48d9-4774-853f-b6793616f065"",""contactId"":""7853d6b2-93da-496d-8327-6581b1dc5ffc"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MARKETING_EMAILS""]},""disabled"":false}]"
"{""id"":""0479211c-b9d4-4acf-b21d-18d9c8aa5e6e"",""type"":""BillingAccount""}","[{""destRecId"":""3c3438ef-5cc4-4dc2-abc7-24923c058e71"",""contactId"":""86f05a61-8d91-4a4d-9473-07a32f06eda5"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""3adcd837-af75-4790-b984-b92f704f2b4c"",""contactId"":""86f05a61-8d91-4a4d-9473-07a32f06eda5"",""scope"":{""mode"":""INCLUDE"",""categories"":[""BILLING_ACCOUNT_NOTIFICATIONS""]},""disabled"":false}]"
"{""id"":""df9b879a-dc78-4c4c-aab5-d6f8f0d25a02"",""type"":""Customer""}","[{""destRecId"":""6368265d-c137-493c-b6f3-739af39739a9"",""contactId"":""764f09ae-38f2-4dec-96ef-5b875cb38504"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""a0f91559-d830-4248-9d5a-7689b762ff7a"",""contactId"":""764f09ae-38f2-4dec-96ef-5b875cb38504"",""scope"":{""mode"":""INCLUDE"",""categories"":[""DISRUPTION_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""6368265d-c137-493c-b6f3-739af39739a9"",""contactId"":""764f09ae-38f2-4dec-96ef-5b875cb38504"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false},{""destRecId"":""a0f91559-d830-4248-9d5a-7689b762ff7a"",""contactId"":""764f09ae-38f2-4dec-96ef-5b875cb38504"",""scope"":{""mode"":""INCLUDE"",""categories"":[""MANDATORY_NOTIFICATIONS""]},""disabled"":false}]"
